"D_Gemeente";"D_Postnummer";"D_GemeenteNaam";"D_LandCode"
"191";"6987";"Beffe";"BEL"
"192";"3130";"Begijnendijk";"BEL"
"193";"6672";"Beho";"BEL"
"194";"1852";"Beigem";"BEL"
"195";"8480";"Bekegem";"BEL"
"196";"1730";"Bekkerzeel";"BEL"
"197";"3460";"Bekkevoort";"BEL"
"198";"1009";"Belgische Senaat";"BEL"
"199";"5001";"Belgrade";"BEL"
"200";"4610";"Bellaire";"BEL"
"201";"7170";"Bellecourt";"BEL"
"202";"6730";"Bellefontaine (Lux.)";"BEL"
"203";"5555";"Bellefontaine (Nam.)";"BEL"
"204";"8510";"Bellegem";"BEL"
"205";"9881";"Bellem";"BEL"
"206";"6834";"Bellevaux";"BEL"
"207";"4960";"Bellevaux-Ligneuville";"BEL"
"208";"1674";"Bellingen";"BEL"
"209";"7970";"Beloeil";"BEL"
"210";"9111";"Belsele (Sint-Niklaas)";"BEL"
"211";"4500";"Ben-Ahin";"BEL"
"212";"6941";"Bende";"BEL"
"213";"3540";"Berbroek";"BEL"
"214";"2600";"Berchem (Antwerpen)";"BEL"
"215";"9690";"Berchem (O.-Vl.)";"BEL"
"216";"1082";"Berchem-Sainte-Agathe";"BEL"
"217";"2040";"Berendrecht";"BEL"
"218";"1910";"Berg (Bt.)";"BEL"
"219";"3700";"Berg (Limb.)";"BEL"
"220";"4360";"Bergilers";"BEL"
"221";"3580";"Beringen";"BEL"
"222";"2590";"Berlaar";"BEL"
"223";"9290";"Berlare";"BEL"
"224";"3830";"Berlingen";"BEL"
"225";"4257";"Berloz";"BEL"
"226";"4607";"Berneau";"BEL"
"227";"7320";"Bernissart";"BEL"
"228";"6560";"Bersillies-l'Abbaye";"BEL"
"229";"3060";"Bertem";"BEL"
"230";"6687";"Bertogne";"BEL"
"231";"4280";"Bertr?e";"BEL"
"232";"6880";"Bertrix";"BEL"
"233";"5651";"Berz?e";"BEL"
"234";"8980";"Beselare";"BEL"
"235";"3130";"Betekom";"BEL"
"236";"4300";"Bettincourt";"BEL"
"237";"5030";"Beuzet";"BEL"
"238";"2560";"Bevel";"BEL"
"239";"1547";"Bever";"BEL"
"240";"4960";"Beverc?";"BEL"
"241";"9700";"Bevere";"BEL"
"242";"8791";"Beveren (Leie)";"BEL"
"243";"8800";"Beveren (Roeselare)";"BEL"
"244";"8691";"Beveren-aan-den-Ijzer";"BEL"
"245";"9120";"Beveren-Waas";"BEL"
"246";"3581";"Beverlo";"BEL"
"247";"3740";"Beverst";"BEL"
"248";"4610";"Beyne-Heusay";"BEL"
"249";"6543";"Bienne-lez-Happart";"BEL"
"250";"3360";"Bierbeek";"BEL"
"251";"6533";"Bierc?e";"BEL"
"252";"1301";"Bierges";"BEL"
"253";"1430";"Bierghes";"BEL"
"254";"4460";"Bierset";"BEL"
"255";"5380";"Bierwart";"BEL"
"256";"5640";"Biesme";"BEL"
"257";"5640";"Biesmer?e";"BEL"
"258";"6531";"Biesme-sous-Thuin";"BEL"
"259";"1547";"Bievene";"BEL"
"260";"5555";"Bievre";"BEL"
"261";"1390";"Biez";"BEL"
"262";"6690";"Bihain";"BEL"
"263";"8920";"Bikschote";"BEL"
"264";"4831";"Bilstain";"BEL"
"265";"3740";"Bilzen";"BEL"
"266";"7130";"Binche";"BEL"
"267";"3850";"Binderveld";"BEL"
"268";"3211";"Binkom";"BEL"
"269";"5537";"Bioul";"BEL"
"270";"8501";"Bissegem";"BEL"
"271";"7783";"Bizet";"BEL"
"272";"2830";"Blaasveld";"BEL"
"273";"5542";"Blaimont";"BEL"
"274";"7522";"Blandain";"BEL"
"275";"3052";"Blanden";"BEL"
"276";"8370";"Blankenberge";"BEL"
"277";"7040";"Blaregnies";"BEL"
"278";"7321";"Blaton";"BEL"
"279";"7370";"Blaugies";"BEL"
"280";"4670";"Bl?gny";"BEL"
"281";"7620";"Bl?haries";"BEL"
"282";"4280";"Blehen";"BEL"
"283";"6760";"Bleid";"BEL"
"284";"4300";"Bleret";"BEL"
"285";"7903";"Blicquy";"BEL"
"286";"3950";"Bocholt";"BEL"
"287";"2530";"Boechout";"BEL"
"288";"3890";"Boekhout";"BEL"
"289";"9961";"Boekhoute";"BEL"
"290";"4250";"Bo?lhe";"BEL"
"291";"8904";"Boezinge";"BEL"
"292";"1670";"Bogaarden";"BEL"
"293";"5550";"Bohan";"BEL"
"294";"5140";"Boign?e";"BEL"
"295";"4690";"Boirs";"BEL"
"296";"7866";"Bois-de-Lessines";"BEL"
"297";"5170";"Bois-de-Villers";"BEL"
"298";"7170";"Bois-d'Haine";"BEL"
"299";"4560";"Bois-et-Borsu";"BEL"
"300";"5310";"Bolinne";"BEL"
"301";"4653";"Bolland";"BEL"
"302";"1367";"Bomal (Bt.)";"BEL"
"303";"6941";"Bomal-sur-Ourthe";"BEL"
"304";"4607";"Bombaye";"BEL"
"305";"3840";"Bommershoven (Haren)";"BEL"
"306";"4100";"Boncelles";"BEL"
"307";"5310";"Boneffe";"BEL"
"308";"2820";"Bonheiden";"BEL"
"309";"5021";"Boninne";"BEL"
"310";"1325";"Bonlez";"BEL"
"311";"6700";"Bonnert";"BEL"
"312";"5300";"Bonneville";"BEL"
"313";"7603";"Bon-Secours";"BEL"
"314";"5377";"Bonsin";"BEL"
"315";"2221";"Booischot";"BEL"
"316";"8630";"Booitshoeke";"BEL"
"317";"2850";"Boom";"BEL"
"318";"3631";"Boorsem";"BEL"
"319";"3190";"Boortmeerbeek";"BEL"
"320";"1761";"Borchtlombeek";"BEL"
"321";"2140";"Borgerhout (Antwerpen)";"BEL"
"322";"3840";"Borgloon";"BEL"
"323";"4317";"Borlez";"BEL"
"324";"3891";"Borlo";"BEL"
"325";"6941";"Borlon";"BEL"
"326";"2880";"Bornem";"BEL"
"327";"1404";"Bornival";"BEL"
"328";"2150";"Borsbeek (Antw.)";"BEL"
"329";"9552";"Borsbeke";"BEL"
"330";"5032";"Bossi?re";"BEL"
"331";"8583";"Bossuit";"BEL"
"332";"1390";"Bossut-Gottechain";"BEL"
"333";"3300";"Bost";"BEL"
"334";"5032";"Bothey";"BEL"
"335";"9820";"Bottelare";"BEL"
"336";"6200";"Bouffioulx";"BEL"
"337";"5004";"Bouge";"BEL"
"338";"7040";"Bougnies";"BEL"
"339";"6830";"Bouillon";"BEL"
"340";"6464";"Bourlers";"BEL"
"341";"5575";"Bourseigne-Neuve";"BEL"
"342";"5575";"Bourseigne-Vieille";"BEL"
"343";"7110";"Boussoit";"BEL"
"344";"7300";"Boussu";"BEL"
"345";"5660";"Boussu-en-Fagne";"BEL"
"346";"6440";"Boussu-lez-Walcourt";"BEL"
"347";"1470";"Bousval";"BEL"
"348";"3370";"Boutersem";"BEL"
"349";"5500";"Bouvignes-sur-Meuse";"BEL"
"350";"7803";"Bouvignies";"BEL"
"351";"2288";"Bouwel";"BEL"
"352";"8680";"Bovekerke";"BEL"
"353";"3870";"Bovelingen";"BEL"
"354";"4300";"Bovenistier";"BEL"
"355";"5081";"Bovesse";"BEL"
"356";"6671";"Bovigny";"BEL"
"357";"4990";"Bra";"BEL"
"358";"7604";"Braffe";"BEL"
"359";"5590";"Braibant";"BEL"
"360";"1420";"Braine-l'Alleud";"BEL"
"361";"1440";"Braine-le-Ch?teau";"BEL"
"362";"7090";"Braine-le-Comte";"BEL"
"363";"4260";"Braives";"BEL"
"364";"9660";"Brakel";"BEL"
"365";"5310";"Branchon";"BEL"
"366";"6800";"Bras";"BEL"
"367";"7604";"Brasmenil";"BEL"
"368";"2930";"Brasschaat";"BEL"
"369";"7130";"Bray";"BEL"
"370";"2960";"Brecht";"BEL"
"371";"8450";"Bredene";"BEL"
"372";"3960";"Bree";"BEL"
"373";"2870";"Breendonk";"BEL"
"374";"4020";"Bressoux";"BEL"
"375";"8900";"Brielen";"BEL"
"376";"2520";"Broechem";"BEL"
"377";"3840";"Broekom";"BEL"
"378";"1931";"Brucargo";"BEL"
"379";"7940";"Brugelette";"BEL"
"380";"8000";"Brugge";"BEL"
"381";"5660";"Br?ly";"BEL"
"382";"5660";"Br?ly-de-Pesche";"BEL"
"383";"7620";"Brunehaut";"BEL"
"384";"1785";"Brussegem";"BEL"
"385";"1000";"Brussel";"BEL"
"386";"1070";"Brussel (Anderlecht)";"BEL"
"387";"1050";"Brussel (Elsene)";"BEL"
"388";"1040";"Brussel (Etterbeek)";"BEL"
"389";"1140";"Brussel (Evere)";"BEL"
"390";"1083";"Brussel (Ganshoren)";"BEL"
"391";"1130";"Brussel (Haren)";"BEL"
"392";"1090";"Brussel (Jette)";"BEL"
"393";"1081";"Brussel (Koekelberg)";"BEL"
"394";"1020";"Brussel (Laken)";"BEL"
"395";"1120";"Brussel (Neder-Over-Heembeek)";"BEL"
"396";"1160";"Brussel (Oudergem)";"BEL"
"397";"1030";"Brussel (Schaarbeek)";"BEL"
"398";"1082";"Brussel (Sint-Agatha-Berchem)";"BEL"
"399";"1060";"Brussel (Sint-Gillis)";"BEL"
"400";"1080";"Brussel (Sint-Jans-Molenbeek)";"BEL"
"401";"1210";"Brussel (Sint-Joost-ten-Node)";"BEL"
"402";"1200";"Brussel (Sint-Lambrechts-Woluwe)";"BEL"
"403";"1150";"Brussel (Sint-Pieters-Woluwe)";"BEL"
"404";"1180";"Brussel (Ukkel)";"BEL"
"405";"1190";"Brussel (Vorst)";"BEL"
"406";"1170";"Brussel (Watermaal-Bosvoorde)";"BEL"
"407";"1934";"Brussel X-Luchthaven Remailing";"BEL"
"408";"1005";"Brusselse Hoofdstedelijke Raad";"BEL"
"409";"3800";"Brustem";"BEL"
"410";"1000";"Bruxelles";"BEL"
"411";"1070";"Bruxelles (Anderlecht)";"BEL"
"412";"1160";"Bruxelles (Auderghem)";"BEL"
"413";"1082";"Bruxelles (Berchem-Sainte-Agathe)";"BEL"
"414";"1040";"Bruxelles (Etterbeek)";"BEL"
"415";"1140";"Bruxelles (Evere)";"BEL"
"416";"1190";"Bruxelles (Forest)";"BEL"
"417";"1083";"Bruxelles (Ganshoren)";"BEL"
"418";"1130";"Bruxelles (Haeren)";"BEL"
"419";"1050";"Bruxelles (Ixelles)";"BEL"
"420";"1090";"Bruxelles (Jette)";"BEL"
"421";"1081";"Bruxelles (Koekelberg)";"BEL"
"422";"1020";"Bruxelles (Laeken)";"BEL"
"423";"1080";"Bruxelles (Molenbeek-Saint-Jean)";"BEL"
"424";"1120";"Bruxelles (Neder-Over-Heembeek)";"BEL"
"425";"1060";"Bruxelles (Saint-Gilles)";"BEL"
"426";"1210";"Bruxelles (Saint-Josse-ten-Noode)";"BEL"
"427";"1030";"Bruxelles (Schaerbeek)";"BEL"
"428";"1180";"Bruxelles (Uccle)";"BEL"
"429";"1170";"Bruxelles (Watermael-Boitsfort)";"BEL"
"430";"1200";"Bruxelles (Woluwe-Saint-Lambert)";"BEL"
"431";"1150";"Bruxelles (Woluwe-Saint-Pierre)";"BEL"
"432";"1934";"Bruxelles X-Aeroport Remailing";"BEL"
"433";"7641";"Bruyelle";"BEL"
"434";"6222";"Brye";"BEL"
"435";"3440";"Budingen";"BEL"
"436";"9255";"Buggenhout";"BEL"
"437";"7911";"Buissenal";"BEL"
"438";"5580";"Buissonville";"BEL"
"439";"1501";"Buizingen";"BEL"
"440";"1910";"Buken";"BEL"
"441";"4760";"Bullange";"BEL"
"442";"4760";"B?llingen";"BEL"
"443";"8630";"Bulskamp";"BEL"
"444";"3380";"Bunsbeek";"BEL"
"445";"2070";"Burcht";"BEL"
"446";"4210";"Burdinne";"BEL"
"447";"6927";"Bure";"BEL"
"448";"4790";"Burg-Reuland";"BEL"
"449";"9420";"Burst";"BEL"
"450";"7602";"Bury";"BEL"
"451";"4750";"B?tgenbach";"BEL"
"452";"4750";"Butgenbach";"BEL"
"453";"3891";"Buvingen";"BEL"
"454";"7133";"Buvrinnes";"BEL"
"455";"6743";"Buzenol";"BEL"
"456";"6230";"Buzet";"BEL"
"457";"7604";"Callenelle";"BEL"
"458";"7642";"Calonne";"BEL"
"459";"7940";"Cambron-Casteau";"BEL"
"460";"7870";"Cambron-Saint-Vincent";"BEL"
"461";"1804";"Cargovil";"BEL"
"462";"6850";"Carlsbourg";"BEL"
"463";"7141";"Carni?res";"BEL"
"464";"7061";"Casteau (Soignies)";"BEL"
"465";"5650";"Castillon";"BEL"
"466";"7760";"Celles (Ht.)";"BEL"
"467";"4317";"Celles (Lg.)";"BEL"
"468";"5561";"Celles (Nam.)";"BEL"
"469";"4632";"C?rexhe-Heuseux";"BEL"
"470";"5630";"Cerfontaine";"BEL"
"471";"1341";"C?roux-Mousty";"BEL"
"472";"4650";"Chaineux";"BEL"
"473";"5550";"Chairi?re";"BEL"
"474";"1008";"Chambre des Repr?sentants";"BEL"
"475";"5020";"Champion";"BEL"
"476";"6971";"Champlon";"BEL"
"477";"6921";"Chanly";"BEL"
"478";"6742";"Chantemelle";"BEL"
"479";"7903";"Chapelle-?-Oie";"BEL"
"480";"7903";"Chapelle-?-Wattines";"BEL"
"481";"7160";"Chapelle-lez-Herlaimont";"BEL"
"482";"4537";"Chapon-Seraing";"BEL"
"483";"6000";"Charleroi";"BEL"
"484";"4654";"Charneux";"BEL"
"485";"6824";"Chassepierre";"BEL"
"486";"1450";"Chastre";"BEL"
"487";"5650";"Chastr?s";"BEL"
"488";"1450";"Chastre-Villeroux-Blanmont";"BEL"
"489";"6200";"Ch?telet";"BEL"
"490";"6200";"Ch?telineau";"BEL"
"491";"6747";"Ch?tillon";"BEL"
"492";"4050";"Chaudfontaine";"BEL"
"493";"1325";"Chaumont-Gistoux";"BEL"
"494";"7063";"Chauss?e-Notre-Dame-Louvignies";"BEL"
"495";"4032";"Ch?n?e";"BEL"
"496";"6673";"Cherain";"BEL"
"497";"4602";"Cheratte";"BEL"
"498";"7521";"Chercq";"BEL"
"499";"5590";"Chevetogne";"BEL"
"500";"4987";"Chevron";"BEL"
"501";"7950";"Chi?vres";"BEL"
"502";"6460";"Chimay";"BEL"
"503";"6810";"Chiny";"BEL"
"504";"4400";"Chokier";"BEL"
"505";"1031";"Christelijke Sociale Organisaties";"BEL"
"506";"5560";"Ciergnon";"BEL"
"507";"5590";"Ciney";"BEL"
"508";"4260";"Ciplet";"BEL"
"509";"7024";"Ciply";"BEL"
"510";"1010";"Cit? Administrative de l'Etat";"BEL"
"511";"1480";"Clabecq";"BEL"
"512";"4560";"Clavier";"BEL"
"513";"4890";"Clermont (Lg.)";"BEL"
"514";"5650";"Clermont (Nam.)";"BEL"
"515";"4480";"Clermont-sous-Huy";"BEL"
"516";"5022";"Cognel?e";"BEL"
"517";"7340";"Colfontaine";"BEL"
"518";"4170";"Comblain-au-Pont";"BEL"
"519";"4180";"Comblain-Fairon";"BEL"
"520";"4180";"Comblain-la-Tour";"BEL"
"521";"7780";"Comines";"BEL"
"522";"7780";"Comines-Warneton";"BEL"
"523";"5590";"Conneux";"BEL"
"524";"1005";"Conseil Region Bruxelles-Capitale";"BEL"
"525";"1435";"Corbais";"BEL"
"526";"6838";"Corbion";"BEL"
"527";"7910";"Cordes";"BEL"
"528";"5620";"Corenne";"BEL"
"529";"4860";"Cornesse";"BEL"
"530";"5555";"Cornimont";"BEL"
"531";"5032";"Corroy-le-Ch?teau";"BEL"
"532";"1325";"Corroy-le-Grand";"BEL"
"533";"4257";"Corswarem";"BEL"
"534";"1450";"Cortil-Noirmont";"BEL"
"535";"5380";"Cortil-Wodon";"BEL"
"536";"6010";"Couillet";"BEL"
"537";"6180";"Courcelles";"BEL"
"538";"5336";"Courri?re";"BEL"
"539";"6120";"Cour-sur-Heure";"BEL"
"540";"1490";"Court-Saint-Etienne";"BEL"
"541";"4218";"Couthuin";"BEL"
"542";"5300";"Coutisse";"BEL"
"543";"1380";"Couture-Saint-Germain";"BEL"
"544";"5660";"Couvin";"BEL"
"545";"4280";"Cras-Avernas";"BEL"
"546";"4280";"Crehen";"BEL"
"547";"4367";"Crisn?e";"BEL"
"548";"7120";"Croix-lez-Rouveroy";"BEL"
"549";"4784";"Crombach";"BEL"
"550";"5332";"Crupet";"BEL"
"551";"7033";"Cuesmes";"BEL"
"552";"6880";"Cugnon";"BEL"
"553";"5660";"Cul-des-Sarts";"BEL"
"554";"5562";"Custinne";"BEL"
"555";"1045";"D.I.V.";"BEL"
"556";"8890";"Dadizele";"BEL"
"557";"5660";"Dailly";"BEL"
"558";"9160";"Daknam";"BEL"
"559";"4607";"Dalhem";"BEL"
"560";"8340";"Damme";"BEL"
"561";"6767";"Dampicourt";"BEL"
"562";"6020";"Dampremy";"BEL"
"563";"4253";"Darion";"BEL"
"564";"5630";"Daussois";"BEL"
"565";"5020";"Daussoulx";"BEL"
"566";"5100";"Dave";"BEL"
"567";"6929";"Daverdisse";"BEL"
"568";"8420";"De Haan";"BEL"
"569";"9170";"De Klinge";"BEL"
"570";"8630";"De Moeren";"BEL"
"571";"8660";"De Panne";"BEL"
"572";"9840";"De Pinte";"BEL"
"573";"8540";"Deerlijk";"BEL"
"574";"9570";"Deftinge";"BEL"
"575";"9800";"Deinze";"BEL"
"576";"9280";"Denderbelle";"BEL"
"577";"9450";"Denderhoutem";"BEL"
"578";"9470";"Denderleeuw";"BEL"
"579";"9200";"Dendermonde";"BEL"
"580";"9400";"Denderwindeke";"BEL"
"581";"5537";"Den?e";"BEL"
"582";"8720";"Dentergem";"BEL"
"583";"7912";"Dergneau";"BEL"
"584";"2480";"Dessel";"BEL"
"585";"8792";"Desselgem";"BEL"
"586";"9070";"Destelbergen";"BEL"
"587";"9042";"Desteldonk";"BEL"
"588";"9831";"Deurle";"BEL"
"589";"2100";"Deurne (Antwerpen)";"BEL"
"590";"3290";"Deurne (Bt.)";"BEL"
"591";"7864";"Deux-Acren";"BEL"
"592";"5310";"Dhuy";"BEL"
"593";"1831";"Diegem";"BEL"
"594";"3590";"Diepenbeek";"BEL"
"595";"3290";"Diest";"BEL"
"596";"3700";"Diets-Heur";"BEL"
"597";"8900";"Dikkebus";"BEL"
"598";"9630";"Dikkele";"BEL"
"599";"9890";"Dikkelvenne";"BEL"
"600";"8600";"Diksmuide";"BEL"
"601";"1700";"Dilbeek";"BEL"
"602";"3650";"Dilsen-Stokkem";"BEL"
"603";"5500";"Dinant";"BEL"
"604";"5570";"Dion";"BEL"
"605";"1325";"Dion-Valmont";"BEL"
"606";"4820";"Dison";"BEL"
"607";"6960";"Dochamps";"BEL"
"608";"9130";"Doel";"BEL"
"609";"6836";"Dohan";"BEL"
"610";"5680";"Doische";"BEL"
"611";"4140";"Dolembreux";"BEL"
"612";"4357";"Donceel";"BEL"
"613";"1370";"Dongelberg";"BEL"
"614";"3540";"Donk";"BEL"
"615";"6536";"Donstiennes";"BEL"
"616";"5530";"Dorinne";"BEL"
"617";"3440";"Dormaal";"BEL"
"618";"7711";"Dottenijs";"BEL"
"619";"7711";"Dottignies";"BEL"
"620";"7370";"Dour";"BEL"
"621";"5670";"Dourbes";"BEL"
"622";"8951";"Dranouter";"BEL"
"623";"5500";"Dr?hance";"BEL"
"624";"8600";"Driekapellen";"BEL"
"625";"3350";"Drieslinter";"BEL"
"626";"1620";"Drogenbos";"BEL"
"627";"9031";"Drongen";"BEL"
"628";"8380";"Dudzele";"BEL"
"629";"2570";"Duffel";"BEL"
"630";"3080";"Duisburg";"BEL"
"631";"3803";"Duras";"BEL"
"632";"6940";"Durbuy";"BEL"
"633";"5530";"Durnal";"BEL"
"634";"1653";"Dworp";"BEL"
"635";"1049";"E.U.-Commissie";"BEL"
"636";"1048";"E.U.-Raad";"BEL"
"637";"4690";"Eben-Emael";"BEL"
"638";"6860";"Ebly";"BEL"
"639";"7190";"Ecaussinnes";"BEL"
"640";"7190";"Ecaussinnes-d'Enghien";"BEL"
"641";"7191";"Ecaussinnes-Lalaing";"BEL"
"642";"2650";"Edegem";"BEL"
"643";"9700";"Edelare";"BEL"
"644";"7850";"Edingen";"BEL"
"645";"9900";"Eeklo";"BEL"
"646";"8480";"Eernegem";"BEL"
