date,first_dose,second_dose,region
2021-04-14,636,308,Ostbelgien
2021-04-15,138,40,
2021-04-15,55530,18922,Flanders
2021-04-15,22985,5560,Wallonia
2021-04-15,5476,1720,Brussels
2021-04-15,576,282,Ostbelgien
2021-04-16,136,343,
2021-04-16,48425,8444,Flanders
2021-04-16,21740,6556,Wallonia
2021-04-16,5543,1592,Brussels
2021-04-16,595,306,Ostbelgien
2021-04-17,54,14,
2021-04-17,32665,2126,Flanders
2021-04-17,17512,3259,Wallonia
2021-04-17,1573,75,Brussels
2021-04-17,473,277,Ostbelgien
2021-04-18,1,0,
2021-04-18,5876,67,Flanders
2021-04-18,7,0,Wallonia
2021-04-18,14,0,Brussels
2021-04-19,111,45,
2021-04-19,36692,1040,Flanders
2021-04-19,13346,2383,Wallonia
2021-04-19,6405,821,Brussels
2021-04-19,6,1,Ostbelgien
2021-04-20,82,43,
2021-04-20,27100,606,Flanders
2021-04-20,13732,1371,Wallonia
2021-04-20,5764,863,Brussels
2021-04-20,284,135,Ostbelgien
2021-04-21,113,23,
2021-04-21,56414,1099,Flanders
2021-04-21,24539,2081,Wallonia
2021-04-21,5546,873,Brussels
2021-04-21,562,353,Ostbelgien
2021-04-22,121,59,
2021-04-22,58044,1529,Flanders
2021-04-22,24295,1490,Wallonia
2021-04-22,6559,2521,Brussels
2021-04-22,389,189,Ostbelgien
2021-04-23,163,266,
2021-04-23,35471,1529,Flanders
2021-04-23,23079,2032,Wallonia
2021-04-23,5490,2827,Brussels
2021-04-23,467,191,Ostbelgien
2021-04-24,61,9,
2021-04-24,24275,315,Flanders
2021-04-24,17152,1209,Wallonia
2021-04-24,2285,10,Brussels
2021-04-24,657,132,Ostbelgien
2021-04-25,43,0,
2021-04-25,4190,14,Flanders
2021-04-25,8,0,Wallonia
2021-04-25,2017,1,Brussels
2021-04-26,173,26,
2021-04-26,31085,509,Flanders
2021-04-26,19343,5235,Wallonia
2021-04-26,5285,949,Brussels
2021-04-26,3,1,Ostbelgien
2021-04-27,194,27,
2021-04-27,20274,1819,Flanders
2021-04-27,12030,11110,Wallonia
2021-04-27,5114,1440,Brussels
2021-04-27,572,13,Ostbelgien
2021-04-28,227,46,
2021-04-28,48248,2049,Flanders
2021-04-28,23010,10634,Wallonia
2021-04-28,6946,2229,Brussels
2021-04-28,672,17,Ostbelgien
2021-04-29,173,32,
2021-04-29,55974,3825,Flanders
2021-04-29,22097,11433,Wallonia
2021-04-29,6960,2884,Brussels
2021-04-29,716,22,Ostbelgien
2021-04-30,112,45,
2021-04-30,32376,4897,Flanders
2021-04-30,20035,13227,Wallonia
2021-04-30,6122,3185,Brussels
2021-04-30,809,64,Ostbelgien
2021-05-01,82,19,
2021-05-01,14974,108,Flanders
2021-05-01,19364,7183,Wallonia
2021-05-01,3775,91,Brussels
2021-05-01,969,66,Ostbelgien
2021-05-02,12,1,
2021-05-02,2927,40,Flanders
2021-05-02,0,23,Wallonia
2021-05-02,533,27,Brussels
2021-05-03,157,10,
2021-05-03,33142,5793,Flanders
2021-05-03,25285,4174,Wallonia
2021-05-03,4846,2358,Brussels
2021-05-03,1,2,Ostbelgien
2021-05-04,126,13,
2021-05-04,33232,8567,Flanders
2021-05-04,23876,4271,Wallonia
2021-05-04,5587,2647,Brussels
2021-05-04,1116,59,Ostbelgien
2021-05-05,196,70,
2021-05-05,50466,55366,Flanders
2021-05-05,19379,11898,Wallonia
2021-05-05,8951,2799,Brussels
2021-05-05,1073,99,Ostbelgien
2021-05-06,164,76,
2021-05-06,53192,54709,Flanders
2021-05-06,22207,11884,Wallonia
2021-05-06,6566,5253,Brussels
2021-05-06,927,83,Ostbelgien
2021-05-07,157,100,
2021-05-07,64223,36907,Flanders
2021-05-07,24109,11162,Wallonia
2021-05-07,5882,5305,Brussels
2021-05-07,1078,112,Ostbelgien
2021-05-08,111,19,
2021-05-08,43276,2111,Flanders
2021-05-08,27309,6379,Wallonia
2021-05-08,6898,639,Brussels
2021-05-08,1035,167,Ostbelgien
2021-05-09,51,0,
2021-05-09,3377,16,Flanders
2021-05-09,642,15,Wallonia
2021-05-09,3727,34,Brussels
2021-05-10,108,17,
2021-05-10,32619,779,Flanders
2021-05-10,35178,870,Wallonia
2021-05-10,6038,2289,Brussels
2021-05-10,7,0,Ostbelgien
2021-05-11,117,49,
2021-05-11,18944,2145,Flanders
2021-05-11,29621,2979,Wallonia
2021-05-11,5145,3712,Brussels
2021-05-11,1060,284,Ostbelgien
2021-05-12,74,54,
2021-05-12,24185,16934,Flanders
2021-05-12,33139,4034,Wallonia
2021-05-12,3673,4263,Brussels
2021-05-12,902,283,Ostbelgien
2021-05-13,77,26,
2021-05-13,12018,66109,Flanders
2021-05-13,18434,9145,Wallonia
2021-05-13,6090,1707,Brussels
2021-05-13,697,257,Ostbelgien
2021-05-14,97,44,
2021-05-14,13077,76548,Flanders
2021-05-14,17328,11603,Wallonia
2021-05-14,5060,3396,Brussels
2021-05-14,768,262,Ostbelgien
2021-05-15,45,49,
2021-05-15,7066,37101,Flanders
2021-05-15,17694,8098,Wallonia
2021-05-15,2748,3807,Brussels
2021-05-15,802,254,Ostbelgien
2021-05-16,15,9,
2021-05-16,45,2073,Flanders
2021-05-16,3,5,Wallonia
2021-05-16,1162,725,Brussels
